City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,17.4,88,100,3.79,PN,1693359195
1,east london,-33.0153,27.9116,18.75,31,5,2.9,ZA,1693359195
2,jwaneng,-24.6004,24.7303,8.37,66,4,3.81,BW,1693359196
3,strezhevoy,60.7333,77.5889,14.29,81,100,1.79,RU,1693359015
4,tazovsky,67.4667,78.7,8.79,71,100,5.21,RU,1693359196
5,geraldton,-28.7667,114.6,19.23,59,0,3.6,AU,1693359197
6,edinburgh of the seven seas,-37.0676,-12.3116,10.56,59,68,11.25,SH,1693359197
7,bouarfa,32.53,-1.95,21.55,25,6,4.02,MA,1693359197
8,blackmans bay,-43.0167,147.3167,13.07,79,94,1.32,AU,1693359198
9,argostolion,38.1811,20.489,26.53,48,0,7.66,GR,1693359198
10,bandarbeyla,9.4942,50.8122,26.79,66,6,11.98,SO,1693359198
11,mashhad,36.297,59.6062,22.08,49,0,2.06,IR,1693359028
12,vilyuchinsk,52.9306,158.4028,19.15,74,34,3.19,RU,1693359199
13,whitehorse,60.7161,-135.0538,25.01,34,75,6.71,CA,1693359199
14,grytviken,-54.2811,-36.5092,0.06,88,32,5.17,GS,1693359200
15,aasiaat,68.7098,-52.8699,2.32,92,53,4.91,GL,1693359200
16,nova sintra,14.8667,-24.7167,23.8,85,81,4.53,CV,1693359200
17,hawaiian paradise park,19.5933,-154.9731,28.18,76,40,5.14,US,1693359200
18,atafu village,-8.5421,-172.5159,28.43,79,22,6.86,TK,1693359201
19,yellowknife,62.456,-114.3525,23.29,69,75,4.63,CA,1693359201
20,bechar,31.6167,-2.2167,30.18,17,12,1.54,DZ,1693359201
21,razole,16.4833,81.8333,27.71,68,22,2.32,IN,1693359202
22,usogorsk,63.4106,48.6872,8.0,90,100,1.11,RU,1693359202
23,stanley,54.868,-1.6985,10.29,88,20,5.14,GB,1693359202
24,waitangi,-43.9535,-176.5597,11.01,80,94,2.24,NZ,1693359203
25,weno,7.4515,151.8468,29.97,79,100,3.6,FM,1693359203
26,newman,37.3138,-121.0208,33.13,38,0,1.79,US,1693359203
27,ust-nera,64.5667,143.2,21.92,46,58,3.71,RU,1693359204
28,pisco,-13.7,-76.2167,19.03,82,0,6.69,PE,1693359204
29,kuqa,41.7278,82.9364,24.86,28,0,1.32,CN,1693359205
30,papatowai,-46.5619,169.4708,12.95,58,1,3.14,NZ,1693359205
31,lae,-6.7221,146.9847,27.37,91,100,1.08,PG,1693358957
32,colonia,50.9333,6.95,15.54,83,20,1.03,DE,1693359205
33,kerikeri,-35.2268,173.9474,14.05,63,97,1.57,NZ,1693359206
34,bay roberts,47.5999,-53.2648,16.95,90,100,0.45,CA,1693359206
35,nampula,-15.1165,39.2666,15.28,86,9,2.65,MZ,1693359206
36,afgooye,2.1381,45.1212,23.57,84,98,6.21,SO,1693359207
37,port-aux-francais,-49.35,70.2167,0.73,79,92,20.14,TF,1693359207
38,yokadouma,3.5167,15.05,18.1,99,99,0.71,CM,1693359207
39,collie,-33.3667,116.15,12.89,62,0,3.43,AU,1693359208
40,puerto natales,-51.7236,-72.4875,0.52,94,68,1.27,CL,1693359208
41,fort bragg,35.139,-79.006,24.39,97,75,2.57,US,1693359209
42,ribeira grande,38.5167,-28.7,23.21,89,92,2.68,PT,1693359209
43,chateau-du-loir,47.6949,0.4185,14.99,77,92,3.58,FR,1693359210
44,dudinka,69.4058,86.1778,7.57,77,21,9.14,RU,1693359210
45,chonchi,-42.6128,-73.8092,5.62,92,12,2.99,CL,1693359210
46,mezica,46.5214,14.8544,14.37,99,100,1.5,SI,1693359210
47,oliver,49.1831,-119.5524,23.8,68,98,0.0,CA,1693359211
48,vernon,50.2581,-119.2691,25.97,38,99,1.54,CA,1693359211
49,i-n-salah,27.1935,2.4607,31.03,37,61,5.93,DZ,1693359211
50,chaiya,9.3862,99.1986,29.43,69,94,4.43,TH,1693359212
51,margaret river,-33.95,115.0667,12.9,56,0,3.37,AU,1693359045
52,dossor,47.5272,52.9811,14.93,50,6,5.75,KZ,1693359214
53,kristiansund,63.1115,7.732,12.36,87,100,2.06,NO,1693359214
54,puerto ayora,-0.7393,-90.3518,24.75,90,71,1.79,EC,1693359214
55,yinchuan,38.4681,106.2731,24.85,24,0,2.1,CN,1693359161
56,carbonear,47.7332,-53.2148,17.84,83,100,3.53,CA,1693359215
57,macenta,8.5435,-9.471,19.93,100,100,1.06,GN,1693359215
58,iskateley,67.6803,53.1512,8.96,79,100,3.15,RU,1693359216
59,anadyr,64.75,177.4833,12.28,66,40,4.0,RU,1693359216
60,nebbi,2.4783,31.0889,19.16,70,38,1.58,UG,1693359216
61,vila velha,-20.3297,-40.2925,21.97,95,75,1.54,BR,1693359217
62,la gi,10.6667,107.7833,28.58,77,100,5.49,VN,1693359007
63,nar'yan-mar,67.6713,53.087,9.02,79,100,3.18,RU,1693359217
64,pathein,16.7833,94.7333,27.71,81,100,1.44,MM,1693359027
65,hermanus,-34.4187,19.2345,17.11,69,2,2.22,ZA,1693359218
66,antsiranana,-12.2787,49.2917,22.09,70,25,6.55,MG,1693359218
67,mejit,10.2753,170.8646,28.4,75,100,8.72,MH,1693359219
68,ribeira brava,32.65,-17.0667,23.96,62,16,2.36,PT,1693359219
69,sandnessjoen,66.0217,12.6316,9.29,82,1,3.62,NO,1693359220
70,west island,-12.1568,96.8225,25.99,78,40,3.09,CC,1693359220
71,al mijlad,11.0333,27.7333,24.59,80,62,3.66,SD,1693359141
72,georgetown,5.4112,100.3354,27.97,78,20,4.12,MY,1693359002
73,bilibino,68.0546,166.4372,8.73,96,100,1.88,RU,1693359221
74,usoke,-5.1667,32.35,18.89,55,45,2.9,TZ,1693359221
75,hirara,24.8,125.2833,31.92,74,40,7.2,JP,1693359222
76,luwuk,-0.9516,122.7875,28.78,60,32,4.25,ID,1693359222
77,amga,60.8953,131.9608,24.55,51,0,1.77,RU,1693359223
78,enewetak,11.3474,162.3373,29.03,78,74,6.71,MH,1693359223
79,nouadhibou,20.931,-17.0347,25.99,73,36,6.17,MR,1693359223
80,cabo san lucas,22.8909,-109.9124,30.9,77,40,1.54,MX,1693359224
81,college,64.8569,-147.8028,24.48,64,75,2.06,US,1693359224
82,punta arenas,-53.15,-70.9167,3.63,88,100,1.75,CL,1693359224
83,badger,64.8,-147.5333,24.43,56,75,2.06,US,1693359225
84,askiz,53.1319,90.5264,16.9,76,100,3.3,RU,1693359225
85,karpinsk,59.7654,60.0085,10.18,68,100,5.17,RU,1693359225
86,taiyuan,37.8694,112.5603,17.92,77,0,1.0,CN,1693359159
87,constantia,44.1833,28.65,24.38,80,0,4.9,RO,1693359226
88,yeraliyev,43.2,51.65,19.23,47,0,3.81,KZ,1693359227
89,kiuruvesi,63.65,26.6167,10.41,96,100,1.73,FI,1693359227
90,port elizabeth,-33.918,25.5701,14.16,62,0,1.03,ZA,1693359228
91,bratsk,56.1325,101.6142,21.27,69,92,0.51,RU,1693359228
92,udachny,66.4167,112.4,16.36,82,100,1.65,RU,1693359228
93,talaja,21.35,72.05,26.37,69,8,1.82,IN,1693359228
94,xichang,27.8964,102.2634,15.81,93,100,0.58,CN,1693358737
95,rikaze,29.25,88.8833,14.99,47,7,1.2,CN,1693359229
96,papao,-17.75,-149.55,25.82,84,54,3.55,PF,1693359229
97,hammerfest,70.6634,23.6821,10.25,100,100,0.51,NO,1693359230
98,lebu,-37.6167,-73.65,10.17,93,100,8.54,CL,1693359230
99,selfoss,63.9331,-20.9971,10.58,93,99,2.96,IS,1693359230
100,eraan,9.0629,117.7016,30.86,61,100,5.6,PH,1693359231
101,la passe,45.5549,-0.8967,14.99,84,26,1.28,FR,1693359231
102,albany,42.6001,-73.9662,23.03,80,100,1.78,US,1693359232
103,naze,28.3667,129.4833,28.51,82,12,3.96,JP,1693358947
104,qaqortoq,60.7167,-46.0333,7.52,96,97,0.69,GL,1693359232
105,madera,37.1666,-119.8343,35.05,18,0,3.52,US,1693359233
106,pierre,44.3683,-100.351,26.03,53,0,3.09,US,1693359233
107,portland,45.5234,-122.6762,23.62,68,75,2.57,US,1693359233
108,afaahiti,-17.75,-149.2833,24.93,82,82,3.59,PF,1693359234
109,la foa,-21.7108,165.8276,20.66,88,99,2.05,NC,1693359234
110,kushtagi,15.7667,76.2,23.31,75,64,4.89,IN,1693359234
111,saint-joseph,-21.3667,55.6167,20.21,88,100,7.6,RE,1693359234
112,ushuaia,-54.8,-68.3,4.81,75,0,4.63,AR,1693358972
113,fale old settlement,-9.3852,-171.2468,28.17,79,90,7.5,TK,1693359235
114,gondar,12.6,37.4667,13.87,84,100,1.22,ET,1693359236
115,tiksi,71.6872,128.8694,9.06,79,100,4.15,RU,1693359236
116,nadym,65.5333,72.5167,10.06,69,100,3.81,RU,1693358957
117,carauari,-4.8828,-66.8958,24.7,86,100,0.96,BR,1693359237
118,plastun,44.7561,136.2939,15.82,98,100,4.11,RU,1693359237
119,urangan,-25.3,152.9,19.92,72,7,2.63,AU,1693359238
120,port mathurin,-19.6833,63.4167,22.63,74,19,5.32,MU,1693359238
121,xuddur,4.1213,43.8894,21.33,74,93,7.59,SO,1693359238
122,blythe,33.6103,-114.5964,46.25,9,20,3.6,US,1693359239
123,moree,-29.4667,149.85,23.5,37,85,6.58,AU,1693359239
124,scarborough,54.2797,-0.4044,12.76,86,2,1.34,GB,1693359239
125,el calafate,-50.3408,-72.2768,1.08,88,24,0.72,AR,1693359239
126,longyearbyen,78.2186,15.6401,5.91,87,40,4.63,SJ,1693359240
127,remire-montjoly,4.9167,-52.2667,25.02,94,0,1.03,GF,1693359240
128,saint-pierre,-21.3393,55.4781,20.82,88,75,9.77,RE,1693359240
129,sisimiut,66.9395,-53.6735,4.88,88,72,2.61,GL,1693359242
130,guadalupe,25.6833,-100.25,27.34,79,75,2.06,MX,1693359242
131,iqaluit,63.7506,-68.5145,4.85,80,40,2.57,CA,1693359176
132,petropavlovsk-kamchatsky,53.0452,158.6483,18.33,63,40,3.0,RU,1693358967
133,kita,13.0349,-9.4895,22.2,98,100,0.55,ML,1693359243
134,kroya,-7.6331,109.2461,25.84,72,76,1.53,ID,1693359243
135,kangding,30.0513,101.9603,13.08,97,100,1.18,CN,1693359243
136,namibe,-15.1961,12.1522,19.71,88,49,1.78,AO,1693359244
137,avarua,-21.2078,-159.775,23.03,56,20,3.09,CK,1693359244
138,lospalos,-8.5186,127.0025,25.57,57,97,5.92,TL,1693359245
139,oak hill,37.9723,-81.1487,21.73,93,100,0.69,US,1693359245
140,invercargill,-46.4,168.35,15.57,57,6,4.02,NZ,1693359000
141,namtsy,62.7161,129.6658,25.14,51,7,2.48,RU,1693359246
142,itoman,26.1247,127.6694,32.43,71,20,5.66,JP,1693359037
143,calingasta,-31.3308,-69.4078,11.59,11,0,1.65,AR,1693359246
144,arkhangel'sk,64.5401,40.5433,9.47,97,18,1.95,RU,1693359246
145,mezhdurechenskiy,59.6,65.9333,11.13,98,100,3.19,RU,1693359247
146,safford,32.834,-109.7076,38.51,16,0,1.54,US,1693359247
147,labrador city,52.9463,-66.9114,8.95,93,100,2.06,CA,1693359247
148,douglas,41.3,-96.167,26.49,59,0,0.0,US,1693359248
149,sitka,57.0531,-135.33,14.94,88,100,2.57,US,1693359248
150,kiunga,-6.1219,141.2906,27.59,68,98,2.3,PG,1693359248
151,sanming,26.2486,117.6186,25.93,88,96,1.7,CN,1693359249
152,makary,12.5717,14.4666,26.65,68,65,4.73,CM,1693359249
153,evron,48.1564,-0.3997,14.9,84,82,2.79,FR,1693359249
154,acapulco de juarez,16.8634,-99.8901,29.9,70,75,1.03,MX,1693358979
155,minot,48.2325,-101.2963,24.06,56,0,2.06,US,1693359250
156,heyuan,23.7333,114.6833,25.97,79,97,3.09,CN,1693359250
157,shakawe,-18.3667,21.85,11.42,43,0,2.33,BW,1693359251
158,carnarvon,-24.8667,113.6333,26.1,30,0,3.93,AU,1693359251
159,awjilah,29.1081,21.2869,28.08,50,0,5.94,LY,1693359252
160,port alfred,-33.5906,26.891,20.21,33,0,3.81,ZA,1693359252
161,gisborne,-38.6533,178.0042,13.4,52,0,3.01,NZ,1693359043
162,urucara,-2.5364,-57.76,27.02,40,9,1.07,BR,1693359252
163,ilulissat,69.2167,-51.1,5.01,93,100,2.06,GL,1693359253
164,lihue,21.9789,-159.3672,30.77,62,40,7.2,US,1693359253
165,mount isa,-20.7333,139.5,27.87,13,97,3.6,AU,1693359253
166,midvagur,62.0511,-7.1939,9.46,87,75,8.23,FO,1693359254
167,maryville,35.7565,-83.9705,24.84,96,100,2.06,US,1693359254
168,northam,51.0333,-4.2167,15.22,79,76,5.43,GB,1693359254
169,whistler,50.1164,-122.9695,13.57,94,100,1.54,CA,1693359255
170,arraial do cabo,-22.9661,-42.0278,20.4,93,100,5.61,BR,1693359255
171,axim,4.8699,-2.2405,23.96,93,99,2.57,GH,1693359256
172,olonkinbyen,70.9221,-8.7187,4.17,92,100,4.32,SJ,1693359256
173,port lincoln,-34.7333,135.8667,12.77,65,100,6.96,AU,1693359256
174,westport,41.1415,-73.3579,23.11,90,100,3.6,US,1693359257
175,kone,-21.0595,164.8658,23.94,73,88,1.54,NC,1693359257
176,bodo,67.28,14.405,13.02,85,100,6.69,NO,1693359257
177,mayo-belwa,9.05,12.05,22.62,87,100,0.53,NG,1693359258
178,alofi,-19.0595,-169.9187,25.94,53,75,7.72,NU,1693359258
179,saldanha,-33.0117,17.9442,14.03,87,1,2.73,ZA,1693359258
180,flin flon,54.7682,-101.865,19.51,66,2,3.17,CA,1693359259
181,sagua la grande,22.8067,-80.0756,24.55,80,75,4.2,CU,1693359259
182,isafjordur,66.0755,-23.124,9.26,85,100,0.89,IS,1693359259
183,ponta delgada,37.7333,-25.6667,21.4,83,20,1.54,PT,1693359259
184,usinsk,65.9939,57.5281,6.23,89,10,3.57,RU,1693359260
185,jamestown,42.097,-79.2353,17.8,94,0,3.09,US,1693359260
186,wuhu,31.3366,118.3755,21.27,94,100,2.78,CN,1693359260
187,tura,25.5198,90.2201,28.04,69,8,0.65,IN,1693359261
188,palu,-0.8917,119.8707,29.81,63,37,1.06,ID,1693358870
189,fortuna,40.5982,-124.1573,22.19,77,0,6.69,US,1693359262
190,hamilton,39.1834,-84.5333,21.65,73,0,0.0,US,1693359262
191,opuwo,-18.0607,13.84,18.85,46,9,3.93,NA,1693359010
192,mykhaylivka,47.2724,35.2224,18.29,48,0,3.58,UA,1693359263
193,plainview,40.7765,-73.4673,23.71,90,100,0.0,US,1693359263
194,turan,16.0678,108.2208,27.99,78,75,0.51,VN,1693358704
195,sola,-13.8833,167.55,24.77,88,100,4.68,VU,1693359264
196,limassol,34.675,33.0333,26.21,78,0,3.09,CY,1693359265
197,coquimbo,-29.9533,-71.3436,13.85,88,0,3.09,CL,1693359265
198,maralal,1.0968,36.698,14.16,75,90,2.92,KE,1693359265
199,cole harbour,44.6724,-63.4751,20.1,96,100,3.6,CA,1693359265
200,lerwick,60.1545,-1.1494,10.0,84,18,1.91,GB,1693359266
201,rovaniemi,66.5,25.7167,9.67,100,100,3.09,FI,1693359266
202,matias romero,16.8833,-95.0333,24.2,93,100,0.88,MX,1693359267
203,kenai,60.5544,-151.2583,12.05,97,100,4.63,US,1693359267
204,wailua homesteads,22.0669,-159.378,30.44,71,40,7.2,US,1693359268
205,kingston,17.997,-76.7936,30.53,75,20,7.2,JM,1693359268
206,susuman,62.7833,148.1667,20.77,46,35,3.38,RU,1693359268
207,kupang,-10.1667,123.5833,29.32,48,20,6.17,ID,1693359047
208,ivdel',60.6911,60.4206,10.56,67,99,4.62,RU,1693359269
209,sao vicente,-23.9631,-46.3919,19.43,26,45,0.92,BR,1693359269
210,malvan,16.0667,73.4667,25.56,85,13,1.74,IN,1693359123
211,rampachodavaram,17.45,81.7667,26.95,72,12,1.55,IN,1693359270
212,gravenhurst,44.9168,-79.3663,20.76,82,100,3.09,CA,1693359270
213,nova vicosa,-17.8919,-39.3719,23.19,92,20,1.37,BR,1693359270
214,tamanrasset,22.785,5.5228,22.95,49,0,2.06,DZ,1693359270
215,bageshwar,29.85,79.7667,21.53,75,0,0.37,IN,1693359271
216,bredasdorp,-34.5322,20.0403,17.13,48,0,2.09,ZA,1693359271
217,roxas,11.5853,122.7511,28.41,73,98,4.3,PH,1693359271
218,mil'kovo,55.6078,37.7956,15.08,95,61,0.16,RU,1693359272
219,salekhard,66.53,66.6019,8.68,80,96,4.56,RU,1693359272
220,taoudenni,22.6783,-3.9836,35.49,26,3,1.35,ML,1693359272
221,linxi,39.7,118.4333,24.58,60,6,1.74,CN,1693359273
222,yartsevo,55.0667,32.6964,14.47,98,100,2.37,RU,1693359273
223,dingcheng,32.1272,115.0394,25.93,66,97,2.9,CN,1693359273
224,al mindak,20.1588,41.2834,24.78,59,97,0.06,SA,1693359274
225,salalah,17.0151,54.0924,25.72,92,100,3.68,OM,1693359094
226,maxixe,-23.8597,35.3472,20.19,78,98,4.78,MZ,1693359274
227,nayagarh,20.1333,85.1,26.37,69,100,1.58,IN,1693359274
228,maceio,-9.6658,-35.7353,23.69,100,40,2.57,BR,1693359275
229,kalulushi,-12.8378,28.0919,13.09,51,35,2.52,ZM,1693359275
230,puerto santa,-8.9906,-78.6456,19.7,86,21,4.33,PE,1693359276
231,utrik,11.2278,169.8474,28.54,77,17,8.45,MH,1693359276
232,palikir - national government center,6.9248,158.1611,27.47,89,100,3.09,FM,1693359277
233,thompson,55.7435,-97.8558,18.09,68,75,3.09,CA,1693359277
234,pudozh,61.8099,36.5345,11.61,98,44,2.02,RU,1693359277
235,xiongzhou,25.1167,114.3,26.66,73,69,2.99,CN,1693359278
236,flying fish cove,-10.4217,105.6791,25.82,78,75,6.17,CX,1693359244
237,corumba,-19.0092,-57.6533,25.85,50,33,0.82,BR,1693359278
238,nishinoomote,30.7333,131.0,28.31,100,75,6.17,JP,1693359089
239,yaiza,28.9633,-13.7631,21.87,78,40,5.66,ES,1693359279
240,sergeyevka,53.88,67.4158,9.32,82,100,4.09,KZ,1693359279
241,touros,-5.1989,-35.4608,25.68,78,100,5.93,BR,1693359279
242,weihai,37.5017,122.1136,22.8,66,100,6.44,CN,1693359280
243,keflavik,64.0049,-22.5624,10.24,93,75,2.06,IS,1693359280
244,klyuchi,52.2667,79.1667,17.57,49,87,5.08,RU,1693359280
245,hasaki,35.7333,140.8333,35.16,78,83,5.69,JP,1693359230
246,kaa-khem,51.6833,94.7333,21.16,66,100,2.88,RU,1693359281
247,keetmanshoop,-26.5833,18.1333,17.51,59,9,3.6,NA,1693359011
248,sant lluis,39.8526,4.2594,21.22,68,0,2.06,ES,1693359281
249,arish,31.1316,33.7984,24.51,76,0,2.26,EG,1693359282
250,balsas,-7.5325,-46.0356,28.07,44,30,1.23,BR,1693359282
251,talnakh,69.4865,88.3972,7.34,61,48,1.85,RU,1693359283
252,chibougamau,49.9168,-74.3659,10.79,100,100,4.63,CA,1693359283
253,inebolu,41.9747,33.7608,23.16,62,2,2.36,TR,1693359283
254,ilula,-7.6766,36.0366,13.15,88,7,2.88,TZ,1693359284
255,north manchester,41.0006,-85.7686,20.67,93,6,5.59,US,1693359284
256,choibalsan,48.0667,114.5,19.57,45,100,4.0,MN,1693359284
257,bethel,41.3712,-73.414,22.65,85,100,1.24,US,1693359081
258,khorixas,-20.3667,14.9667,21.56,38,48,4.7,NA,1693359012
259,tyre,33.2733,35.1939,26.74,82,2,2.82,LB,1693359118
260,san patricio,28.017,-97.5169,32.88,49,99,3.02,US,1693359285
261,sur,22.5667,59.5289,28.79,71,4,1.0,OM,1693359286
262,smithers,54.7804,-127.1743,23.18,49,40,3.6,CA,1693359286
263,sainte-rose,16.3324,-61.6979,27.02,89,0,1.54,GP,1693359134
264,dwarka,22.2394,68.9678,26.4,74,100,4.51,IN,1693359286
265,luena,-11.7833,19.9167,18.1,45,100,3.6,AO,1693359287
266,la'ie,21.6477,-157.9253,30.98,68,25,4.02,US,1693359287
267,nizhniy kuranakh,58.8353,125.4869,23.01,62,7,0.56,RU,1693359287
268,olovyannaya,50.95,115.5667,22.22,29,31,5.11,RU,1693359288
269,hadibu,12.65,54.0333,26.53,81,32,8.13,YE,1693359288
270,marsh harbour,26.5412,-77.0636,29.93,79,72,5.48,BS,1693359288
271,nadi,-17.8,177.4167,27.0,61,75,7.2,FJ,1693359289
272,cadale,2.7603,46.3222,24.71,84,45,8.32,SO,1693359289
273,visby,57.6409,18.296,13.35,100,40,2.06,SE,1693359290
274,novobod,39.0108,70.1508,19.57,33,0,1.2,TJ,1693359290
275,sambava,-14.2667,50.1667,21.74,75,45,5.67,MG,1693359290
276,alice springs,-23.7,133.8833,22.75,21,0,4.63,AU,1693359291
277,callao,-12.0667,-77.15,20.95,77,75,5.66,PE,1693359291
278,tres palos,18.1833,-101.6167,24.23,95,70,1.47,MX,1693359291
279,egilsstadir,65.2653,-14.3948,5.95,87,0,1.03,IS,1693359291
280,saint-francois,46.4154,3.9054,9.69,93,20,0.0,FR,1693359292
281,port hedland,-20.3167,118.5667,31.03,11,6,5.14,AU,1693359292
282,rockland,41.1668,-74.0496,23.47,89,100,1.0,US,1693359293
283,siniscola,40.5719,9.6922,20.75,59,52,6.77,IT,1693359293
284,kosh-agach,50.0,88.6667,15.9,54,100,1.74,RU,1693359293
285,st. john's,47.5649,-52.7093,16.75,79,100,5.14,CA,1693359294
286,slavyanka,42.8633,131.3847,22.04,91,98,3.11,RU,1693359295
